,address,hotel name,score,url,description,city,category score,lat,lon,description_w,temp.day,humidity,rain,pop
0,"60 rue Louis Lepine Albasud Secteur 3, 82000 Montauban, France",Premiere Classe Montauban,5.2,https://www.booking.com/hotel/fr/hotelpremiereclasse.en-gb.html,"['This Premiere Classe hotel is located a 10-minute drive from the centre of Montauban. It offers a 24-hour reception desk and free Wi-Fi.', 'Rooms at Premiere Classe Montauban are equipped with a flat-screen and private bathroom with  Kyriadt Restaurant is within walking distance of the hotel.', 'Premiere Classe Montauban is in the heart of the Albasud3 Zone and near Exit 66 of the A20 motorway. Guests have access to free private parking. ']",Montauban,5.0,44.0176,1.355,overcast clouds,24,46,10,35
1,"Zone Albasud Secteur 3 Impasse Louis Lepine, 82000 Montauban, France",Kyriad Montauban Sud - Albasud,6.5,https://www.booking.com/hotel/fr/hoteletrestaurantcampanilemontauban.en-gb.html,"[""Located near the A20 motorway, Kyriad Montauban Sud - Albasud is just 8 kilometres from Montauban's town centre and train station. It offers air-conditioned rooms and free WiFi access."", 'Rooms at Kyriad Montauban Sud - Albasud are equipped with a telephone, flat-screen TV and private bathroom.', 'A full breakfast buffet is served daily at the Kyriad Montauban Hotel.  The hotel’s air-conditioned restaurant offers traditional cuisine for  dinner.', 'Additional facilities include a garden and terrace with a children’s playground.', 'Kyriad Montauban Sud - Albasud is 50 kilometres north of Toulouse and 66 km from Cahors. It is near the Pente d’eau de Montech and guests have access to free private parking. ']",Montauban,6.0,44.0176,1.355,overcast clouds,24,46,10,35
2,"21 Rue Delcasse, 82000 Montauban, France",Vue Imprenable-Studio-Montauban,7.2,https://www.booking.com/hotel/fr/vue-imprenable-studio-montauban-montauban.en-gb.html,"['Set in Montauban in the Midi-Pyrénées region, Vue Imprenable-Studio-Montauban features a patio and garden views. The property has city views.', 'This apartment comes with 1 bedroom, a kitchenette with a microwave and a fridge, a TV, a seating area and 1 bathroom equipped with a bath. For added convenience, the property can provide towels and bed linen for an extra charge.', 'The nearest airport is Toulouse-Blagnac Airport, 53 km from the apartment. ']",Montauban,7.0,44.0176,1.355,overcast clouds,24,46,10,35
3,"30 rue Léon Cladel, 82000 Montauban, France",Kyriad Direct Montauban Centre,7.0,https://www.booking.com/hotel/fr/kyriad-direct-montauban-centre.en-gb.html,"['Located in Montauban, Hôtel Villenouvelle is a 12-minute walk from the Ingres Museum. The hotel offers free WiFi and a 24-hour front desk.', 'All the soundproofed rooms are serviced by a lift and feature air conditioning, carpeted floors and a flat-screen TV. The private bathroom includes free toiletries and a shower.', 'A buffet breakfast can be enjoyed every morning at Hôtel Villenouvelle.', 'This property is a 20-minute walk from Montauban-Ville-Bourbon Train Station and a 13-minute walk from the Cathedral. Free private parking is available on site. ']",Montauban,7.0,44.0176,1.355,overcast clouds,24,46,10,35
4,"Za Albasud- 16 Impasse JacquesDaguerre , 82000 Montauban, France",Brit Hotel Confort Montauban,7.6,https://www.booking.com/hotel/fr/deltour-montauban-city.en-gb.html,"[""You're eligible for a Genius discount at Brit Hotel Confort Montauban! To save at this property, all you have to do is "", '.', 'Brit Hotel Confort Montauban is located south of Montauban City, 300 m from junction 66 of the A20 motorway. It offers air-conditioned guestrooms with LCD cable TV and free Wi-Fi.', 'The Brit Hotel Confort Montauban serves a continental buffet breakfast and local products.', 'The Brit Hotel Confort Montauban is 6 kilometres from Montauban’s train station and 7 kilometres from Montauban Cathedral. Free private parking is available. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
5,"6-8 Quai De Verdun, 82000 Montauban, France",Abbaye des Capucins Spa & Resort,8.2,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.en-gb.html,"['Abbaye des Capucins Spa & Resort is located in Montauban, a 30-minute drive from Toulouse. It offers free access to the outdoor pool, spa centre and fitness room with cardio gym equipment.', 'Abbaye des Capucins Spa & Resort offers soundproofed accommodation with air conditioning. Each guest room has a private bathroom and some have a terrace viewing the River Tarn. At an extra cost, guests can have breakfast in the comfort of their rooms.', ""Guests can also enjoy a meal in the hotel's brasserie called Le Bistro des Capucins."", 'Massage and beauty treatments are available at the Abbaye des Capucins Spa & Resort . There is a business centre and free private parking. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
6,"600 Route du Nord, 82000 Montauban, France",B&B HOTEL Montauban,7.8,https://www.booking.com/hotel/fr/b-amp-b-montauban.en-gb.html,"['Hôtel B&B Montauban is located north of Montauban, a 50-minute drive from the centre of Toulouse, a 65-minute drive from the Aveyron gorges and a 45-minute drive from Cahors. Free WiFi access is available.', 'The air-conditioned guest rooms have a flat screen TV,  All rooms include a private bathroom with a shower and free toiletries.', 'A continental breakfast is available at the hotel for an additional charge, and children benefit from a reduced rate for breakfast.', 'The nearest airport is Blagnac Airport, a 40-minute drive from the hotel. The property offers free parking. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
7,"38 Avenue Marceau Hamecher, 82000 Montauban, France",Voyage au Canal,8.1,https://www.booking.com/hotel/fr/voyage-au-canal.en-gb.html,"['Voyage au Canal, a property with a terrace, is situated in Montauban, 50 km from Pierre Baudis Japanese Garden. The accommodation is 49 km from Amphitheatre Purpan-Ancely, and guests benefit from complimentary WiFi and private parking available on site.', 'This air-conditioned apartment has 2 bedrooms, a flat-screen TV, and a kitchen.', 'The nearest airport is Toulouse-Blagnac Airport, 51 km from the apartment. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
8,"9 Place Franklin Roosevelt, 82000 Montauban, France",Hôtel du Commerce,8.3,https://www.booking.com/hotel/fr/hotel-du-commerce-montauban.en-gb.html,"[""You're eligible for a Genius discount at Hôtel du Commerce! To save at this property, all you have to do is "", '.', 'Located in the centre of Montauban, Hôtel du Commerce offers soundproofed guest rooms set in a renovated, 18th-century house with a lift. The hotel is 100 m from the Ingres Museum and 1 km from Montauban Train Station.', 'With a unique décor, all of the rooms at Hôtel du Commerce have a flat-screen TV. Each room also features a private bathroom with a hairdryer, free toiletries and a bath or a shower. Some of the rooms are equipped with air conditioning.', 'Each morning you can choose between a continental and an English buffet breakfast, which can be served in the communal lounge or in the comfort of your room. There is a restaurant just 5 m from the hotel.', 'Free Wi-Fi is available throughout the hotel. Public parking is possible near Hôtel du Commerce, with an extra cost, and A20 Motorway Exit is 2.5 km away. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
9,"365 Impasse Maurice Bayrou, 82000 Montauban, France",Centre Louis Ormières,8.0,https://www.booking.com/hotel/fr/centre-louis-ormieres.en-gb.html,"['Located in a former convent in Montauban next to the River Tarn, Centre Louis Ormières features a restaurant, a garden, function rooms and free WiFi throughout the property. Free private parking is available onsite.', 'At the hotel each room is fitted with a private bathroom.', 'Guests at Centre Louis Ormières can enjoy a continental breakfast.', 'The centre of Montauban is less than a 10-minute drive away. Toulouse is 49 km from the accommodation, while Blagnac is 49 km away. The nearest airport is Toulouse-Blagnac Airport, 51 km from Centre Louis Ormières. ']",Montauban,8.0,44.0176,1.355,overcast clouds,24,46,10,35
